sensorid,name,province,amphoe,tambol,lat,lon
CU-S0012,องค์การบริหารส่วนตำบลเปือ,น่าน,เชียงกลาง,เปือ,19.3319,100.8192
CU-S0006,องค์การบริหารส่วนตำบลพระธาตุ,น่าน,เชียงกลาง,พระธาตุ,19.3362,100.8951
CU-S0014,เทศบาลตำบลพระพุทธบาท,น่าน,เชียงกลาง,พระพุทธบาท,19.2728,100.8397
CU-S0047,องค์การบริหารส่วนตำบลจอมพระ,น่าน,ท่าวังผา,จอมพระ,19.08279,100.8509
CU-S0061,องค์การบริหารส่วนตำบลตาลชุม,น่าน,ท่าวังผา,ตาลชุม,19.03684,100.7986
CU-S0022,เทศบาลตำบลท่าวังผา,น่าน,ท่าวังผา,ท่าวังผา,19.09438,100.8093
CU-S0005,องค์การบริหารส่วนตำบลป่าคา,น่าน,ท่าวังผา,ป่าคาหลวง,19.07142,100.8069
CU-S0034,องค์การบริหารส่วนตำบลผาตอ,น่าน,ท่าวังผา,ผาตอ,19.17886,100.7777
CU-S0053,องค์การบริหารส่วนตำบลผาทอง,น่าน,ท่าวังผา,ผาทอง,19.18156,100.7662
CU-S0015,องค์การบริหารส่วนตำบลห้วยโก๋น,น่าน,เฉลิมพระเกียรติ,ห้วยโก๋น,19.5797,101.0819
CU-S0042,องค์การบริหารส่วนตำบลยม,น่าน,ท่าวังผา,ยม,19.0892,100.8967
CU-S0060,องค์การบริหารส่วนตำบลริม,น่าน,ท่าวังผา,ริม,19.10479,100.8003
CU-S0017,เทศบาลตำบลเชียงกลาง,น่าน,เชียงกลาง,เชียงกลาง,19.2876,100.8615
CU-S0029,องค์การบริหารส่วนตำบลศรีภูมิ,น่าน,ท่าวังผา,ศรีภูมิ,19.0584,100.7909
CU-S0018,องค์การบริหารส่วนตำบลขุนน่าน,น่าน,เฉลิมพระเกียรติ,ขุนน่าน,19.48445,101.1542
CU-S0043,องค์การบริหารส่วนตำบลแสนทอง,น่าน,ท่าวังผา,แสนทอง,19.13531,100.7866
CU-S0010,เทศบาลตำบลงอบ,น่าน,ทุ่งช้าง,งอบ,19.48294,100.897
CU-S0020,องค์การบริหารส่วนตำบลทุ่งช้าง,น่าน,ทุ่งช้าง,ทุ่งช้าง,19.3965,100.8809
CU-S0021,เทศบาลตำบลทุ่งช้าง,น่าน,ทุ่งช้าง,ทุ่งช้าง,19.4075,100.8814
CU-S0024,องค์การบริหารส่วนตำบลและ,น่าน,ทุ่งช้าง,และ,19.422108,100.879961
CU-S0025,องค์การบริหารส่วนตำบลปอน,น่าน,ทุ่งช้าง,ปอน,19.51838,100.9256
CU-S0077,องค์การบริหารส่วนตำบลนาน้อย,น่าน,นาน้อย,นาน้อย,18.3276,100.7088
CU-S0101,เทศบาลตำบลนาน้อย,น่าน,นาน้อย,นาน้อย,18.32593,100.7123
CU-S0026,องค์การบริหารส่วนตำบลน้ำตก,น่าน,นาน้อย,น้ำตก,18.4026,100.6289
CU-S0102,องค์การบริหารส่วนตำบลบัวใหญ่,น่าน,นาน้อย,บัวใหญ่,18.33423,100.6163
CU-S0057,เทศบาลตำบลศรีษะเกษ,น่าน,นาน้อย,ศรีษะเกษ,18.33317,100.7409
CU-S0019,องค์การบริหารส่วนตำบลสถาน,น่าน,นาน้อย,สถาน,18.24971,100.6978
CU-S0079,องค์การบริหารส่วนตำบลสันทะ,น่าน,นาน้อย,สันทะ,18.3006,100.5944
CU-S0002,เทศบาลตำบลบ่อแก้ว,น่าน,นาหมื่น,บ่อแก้ว,18.1609,100.7222
CU-S0009,องค์การบริหารส่วนตำบลปิงหลวง,น่าน,นาหมื่น,ปิงหลวง,18.17366,100.5026
CU-S0023,องค์การบริหารส่วนตำบลเมืองลี,น่าน,นาหมื่น,เมืองลี,18.20045,100.5064
CU-S0036,องค์การบริหารส่วนตำบลดงพญา,น่าน,บ่อเกลือ,ดงพญา,19.20855,101.1853
CU-S0016,เทศบาลตำบลบ่อเกลือใต้,น่าน,บ่อเกลือ,บ่อเกลือใต้,19.1492,101.1579
CU-S0051,องค์การบริหารส่วนตำบลบ้านฟ้า,น่าน,บ้านหลวง,บ้านฟ้า,18.81509,100.4546
CU-S0070,องค์การบริหารส่วนตำบลป่าคาหลวง,น่าน,บ้านหลวง,ป่าคาหลวง,18.85143,100.4356
CU-S0094,องค์การบริหารส่วนตำบลสวด,น่าน,บ้านหลวง,สวด,18.83766,100.4462
CU-S0007,องค์การบริหารส่วนตำบลแงง,น่าน,ปัว,แงง,19.1786,100.8497
CU-S0003,องค์การบริหารส่วนตำบลเจดีย์ชัย,น่าน,ปัว,เจดีย์ชัย,19.16998,100.8295
CU-S0100,องค์การบริหารส่วนตำบลไชยวัฒนา,น่าน,ปัว,ไชยวัฒนา,19.19302,100.9256
CU-S0099,เทศบาลตำบลปัว,น่าน,ปัว,ปัว,19.17975,100.9092
CU-S0096,องค์การบริหารส่วนตำบลป่ากลาง,น่าน,ปัว,ป่ากลาง,19.1414,100.9304
CU-S0067,องค์การบริหารส่วนตำบลวรนคร,น่าน,ปัว,วรนคร,19.17619,100.9506
CU-S00054,เทศบาลตำบลศิลาแลง,น่าน,ปัว,ศิลาแลง,19.14978,100.9467
CU-S0086,องค์การบริหารส่วนตำบลสถาน,น่าน,ปัว,สถาน,19.21874,100.9201
CU-S0087,องค์การบริหารส่วนตำบลท่าน้าว,น่าน,ภูเพียง,ท่าน้าว,18.73911,100.7635
CU-S0052,องค์การบริหารส่วนตำบลภูฟ้า,น่าน,บ่อเกลือ,ภูฟ้า,19.01033,101.2006
CU-S0001,องค์การบริหารส่วนตำบลบ่อเกลือเหนือ,น่าน,บ่อเกลือ,บ่อเกลือเหนือ,19.3054,101.1743
CU-S0088,องค์การบริหารส่วนตำบลบ้านพี้,น่าน,บ้านหลวง,บ้านพี้,18.87177,100.4401
CU-S0027,องค์การบริหารส่วนตำบลนาปัง,น่าน,ภูเพียง,นาปัง,18.7012,100.8076
CU-S0098,องค์การบริหารส่วนตำบลน้ำเกี้ยน,น่าน,ภูเพียง,น้ำเกี้ยน,18.73244,100.8248
CU-S0039,องค์การบริหารส่วนตำบลเมืองจัง,น่าน,ภูเพียง,เมืองจัง,18.86394,100.8291
CU-S0078,เทศบาลตำบลกองควาย,น่าน,เมืองน่าน,กองควาย,18.68118,100.7558
CU-S0004,องค์การบริหารส่วนตำบลไชยสถาน,น่าน,เมืองน่าน,ไชยสถาน,18.77298,100.7206
CU-S0071,องค์การบริหารส่วนจังหวัดน่าน,น่าน,เมืองน่าน,ไชยสถาน,18.79966,100.7333
CU-S0080,เทศบาลตำบลดู่ใต้,น่าน,เมืองน่าน,ดู่ใต้,18.7262,100.7429
CU-S0085,องค์การบริหารส่วนตำบลถืมตอง,น่าน,เมืองน่าน,ถืมตอง,18.79794,100.7142
CU-S0033,องค์การบริหารส่วนตำบลน้ำแก่น,น่าน,ภูเพียง,น้ำแก่น,18.71962,100.8411
CU-S0066,องค์การบริหารส่วนตำบลฝายแก้ว,น่าน,ภูเพียง,ฝายแก้ว,18.767567,100.783369
CU-S0091,องค์การบริหารส่วนตำบลม่วงตึ๊ด,น่าน,ภูเพียง,ม่วงตึ๊ด,18.75282,100.7775
CU-S0082,องค์การบริหารส่วนตำบลนาซาว,น่าน,เมืองน่าน,นาซาว,18.71184,100.6894
CU-S0097,องค์การบริหารส่วนตำบลเรือง,น่าน,เมืองน่าน,เรือง,18.77526,100.6876
CU-S0044,องค์การบริหารส่วนตำบลสวก,น่าน,เมืองน่าน,สวก,18.73808,100.6842
CU-S0073,องค์การบริหารส่วนตำบลสะเนียน,น่าน,เมืองน่าน,สะเนียน,18.80531,100.7044
CU-S0059,องค์การบริหารส่วนตำบลน้ำพาง,น่าน,แม่จริม,น้ำพาง,18.6442,101.0118
